Title,Abstract,StoreId,ArticleType,Authors,coden,companies,copyright,documentType,entryDate,issn,language,languageOfSummary,pages,placeOfPublication,pubdate,pubtitle,year,DocumentURL,startPage,subjects,subjectTerms,FindACopy,Database
U.S. News: Report Warns of Economic Losses From Climate Change,,2137092969,Newspapers,Robert Lee Hotz,," Union of Concerned Scientists
813920 , Department of Agriculture
926140 , National Oceanic & Atmospheric Administration--NOAA
924120 , Environmental Protection Agency--EPA
924110"," (c) 2018 Dow Jones & Company, Inc. Reproduced with permission of copyright owner. Further reproduction or distribution is prohibited without permission.", News," Nov 24, 2018",0099-9660, English, English, A.3," New York, N.Y.","Nov 24, 2018",Wall Street Journal,2018,https://search.proquest.com/docview/2137092969?accountid=14902, A.3,," Emissions , Climate science , Greenhouse effect , Climate change , Trump, Donald J , United States--US , North America",https://searchit.libraries.wsu.edu/openurl/WSU/WSU?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Awallstreetjournal&amp;atitle=U.S.+News%3A+Report+Warns+of+Economic+Losses+From+Climate+Change&amp;title=Wall+Street+Journal&amp;issn=00999660&amp;date=2018-11-24&amp;volume=&amp;issue=&amp;spage=A.3&amp;au=Robert+Lee+Hotz&amp;isbn=&amp;jtitle=Wall+Street+Journal&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,Global Newsstream
Debating Washington Carbon Tax Initiative,,2126767862,Newspapers,,," Columbia University
611310"," (c) 2018 Dow Jones & Company, Inc. Reproduced with permission of copyright owner. Further reproduction or distribution is prohibited without permission.", News," Oct 30, 2018",0099-9660, English, English, A.16," New York, N.Y.","Oct 30, 2018",Wall Street Journal,2018,https://search.proquest.com/docview/2126767862?accountid=14902, A.16,," Economic models , Carbon , Tax cuts , Taxes , Climate change , Gross Domestic Product--GDP , Fees & charges , Environmental tax , Trump, Donald J , Rooney, Francis , New York , Huntington Beach California",https://searchit.libraries.wsu.edu/openurl/WSU/WSU?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Awallstreetjournal&amp;atitle=Debating+Washington+Carbon+Tax+Initiative&amp;title=Wall+Street+Journal&amp;issn=00999660&amp;date=2018-10-30&amp;volume=&amp;issue=&amp;spage=A.16&amp;au=&amp;isbn=&amp;jtitle=Wall+Street+Journal&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,Global Newsstream
Japan's Inpex Ships Natural Gas,,2124401336,Newspapers,"Negishi, Mayumi",," Total SA
211111
324110
447190 , Inpex Corp
211111"," (c) 2018 Dow Jones & Company, Inc. Reproduced with permission of copyright owner. Further reproduction or distribution is prohibited without permission.", News," Oct 24, 2018",0099-9660, English, English, B.13," New York, N.Y.","Oct 24, 2018",Wall Street Journal,2018,https://search.proquest.com/docview/2124401336?accountid=14902, B.13,," LNG , Shipping industry , Natural gas , Supply & demand , Australia , China , United States--US , France , Japan",https://searchit.libraries.wsu.edu/openurl/WSU/WSU?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Awallstreetjournal&amp;atitle=Japan%27s+Inpex+Ships+Natural+Gas&amp;title=Wall+Street+Journal&amp;issn=00999660&amp;date=2018-10-24&amp;volume=&amp;issue=&amp;spage=B.13&amp;au=Negishi%2C+Mayumi&amp;isbn=&amp;jtitle=Wall+Street+Journal&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,Global Newsstream
A Quiet Revolution Has Given the U.S. Smarter Regulations,,2123602581,Newspapers,"Sunstein, Cass R",," MIT Press
511120 , Harvard Law School
611310 , Environmental Protection Agency--EPA
924110 , Government Accountability Office
921130"," (c) 2018 Dow Jones & Company, Inc. Reproduced with permission of copyright owner. Further reproduction or distribution is prohibited without permission.", News," Oct 22, 2018",0099-9660, English, English, A.19," New York, N.Y.","Oct 22, 2018",Wall Street Journal,2018,https://search.proquest.com/docview/2123602581?accountid=14902, A.19,," Regulation , Emissions , Carbon , Coal-fired power plants , Environmental protection , Social costs , Benefit cost analysis , Industrial plant emissions , Trump, Donald J , Reagan, Ronald Wilson , United States--US , Nordhaus, William , Obama, Barack",https://searchit.libraries.wsu.edu/openurl/WSU/WSU?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Awallstreetjournal&amp;atitle=A+Quiet+Revolution+Has+Given+the+U.S.+Smarter+Regulations&amp;title=Wall+Street+Journal&amp;issn=00999660&amp;date=2018-10-22&amp;volume=&amp;issue=&amp;spage=A.19&amp;au=Sunstein%2C+Cass+R&amp;isbn=&amp;jtitle=Wall+Street+Journal&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,Global Newsstream
A House Majority by 'Any Means Necessary',,2122999917,Newspapers,"Peterson, Kyle",," Republican Party
813940"," (c) 2018 Dow Jones & Company, Inc. Reproduced with permission of copyright owner. Further reproduction or distribution is prohibited without permission.", News," Oct 20, 2018",0099-9660, English, English, A.11," New York, N.Y.","Oct 20, 2018",Wall Street Journal,2018,https://search.proquest.com/docview/2122999917?accountid=14902, A.11,," Tax reform , Presidents , Pedophilia , Aliens , Political parties , Trump, Donald J , Illinois , Kavanaugh, Brett",https://searchit.libraries.wsu.edu/openurl/WSU/WSU?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Awallstreetjournal&amp;atitle=A+House+Majority+by+%27Any+Means+Necessary%27&amp;title=Wall+Street+Journal&amp;issn=00999660&amp;date=2018-10-20&amp;volume=&amp;issue=&amp;spage=A.11&amp;au=Peterson%2C+Kyle&amp;isbn=&amp;jtitle=Wall+Street+Journal&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,Global Newsstream
The U.N.'s Doomsday Climate Clock,,2120087961,Newspapers,,," Exxon Mobil Corp
211111
447110 , Democratic Party
813940 , Intergovernmental Panel on Climate Change
541712
928120"," (c) 2018 Dow Jones & Company, Inc. Reproduced with permission of copyright owner. Further reproduction or distribution is prohibited without permission."," Opinions , Editorial"," Oct 16, 2018",0099-9660, English, English, A.16," New York, N.Y.","Oct 16, 2018",Wall Street Journal,2018,https://search.proquest.com/docview/2120087961?accountid=14902, A.16,," Fossil fuels , Carbon , Politics , Taxes , Environmental tax , Climate change , Gross Domestic Product--GDP , Editorials , Notley, Rachel , Trump, Donald J , United States--US , Germany , Trudeau, Justin , Australia , Europe",https://searchit.libraries.wsu.edu/openurl/WSU/WSU?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=unknown&amp;sid=ProQ:ProQ%3Awallstreetjournal&amp;atitle=The+U.N.%27s+Doomsday+Climate+Clock&amp;title=Wall+Street+Journal&amp;issn=00999660&amp;date=2018-10-16&amp;volume=&amp;issue=&amp;spage=A.16&amp;au=&amp;isbn=&amp;jtitle=Wall+Street+Journal&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,Global Newsstream
Harness the Market to Manage the Climate,,2120087838,Newspapers,"Krupp, Fred",," Environmental Defense Fund
541720
813312 , Intergovernmental Panel on Climate Change
541712
928120"," (c) 2018 Dow Jones & Company, Inc. Reproduced with permission of copyright owner. Further reproduction or distribution is prohibited without permission."," Opinions , Commentary"," Oct 16, 2018",0099-9660, English, English, A.15," New York, N.Y.","Oct 16, 2018",Wall Street Journal,2018,https://search.proquest.com/docview/2120087838?accountid=14902, A.15,," Gases , Emissions , Carbon dioxide , Coal-fired power plants , Climate change , Industrial plant emissions , Pollution , Natural gas , Nordhaus, William , California , Florida , Krupp, Fred",https://searchit.libraries.wsu.edu/openurl/WSU/WSU?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=unknown&amp;sid=ProQ:ProQ%3Awallstreetjournal&amp;atitle=Harness+the+Market+to+Manage+the+Climate&amp;title=Wall+Street+Journal&amp;issn=00999660&amp;date=2018-10-16&amp;volume=&amp;issue=&amp;spage=A.15&amp;au=Krupp%2C+Fred&amp;isbn=&amp;jtitle=Wall+Street+Journal&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,Global Newsstream
Business News: Oil Industry Bets on Natural Gas,,2117309746,Newspapers,"Kent, Sarah;McFarlane, Sarah",," Royal Dutch Shell PLC
213112
221210
324110 , Total SA
211111
324110
447190 , BP PLC
211111
324110
447110 , Equinor ASA
324110 , Exxon Mobil Corp
211111
447110 , International Energy Agency
541720
926130
928120 , Edward D Jones & Co
523120"," (c) 2018 Dow Jones & Company, Inc. Reproduced with permission of copyright owner. Further reproduction or distribution is prohibited without permission.", News," Oct 10, 2018",0099-9660, English, English, B.3," New York, N.Y.","Oct 10, 2018",Wall Street Journal,2018,https://search.proquest.com/docview/2117309746?accountid=14902, B.3,," Fossil fuels , Carbon , Energy , LNG , Cash flow , Natural gas utilities , Mozambique , Russia , Arctic region , Canada , Scotland , Pouyanne, Patrick , China , France , Europe",https://searchit.libraries.wsu.edu/openurl/WSU/WSU?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Awallstreetjournal&amp;atitle=Business+News%3A+Oil+Industry+Bets+on+Natural+Gas&amp;title=Wall+Street+Journal&amp;issn=00999660&amp;date=2018-10-10&amp;volume=&amp;issue=&amp;spage=B.3&amp;au=Kent%2C+Sarah%3BMcFarlane%2C+Sarah&amp;isbn=&amp;jtitle=Wall+Street+Journal&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,Global Newsstream
A Nobel Economics Prize for the Long Run,,2117060033,Newspapers,"Henderson, David R",," Hoover Institution on War Revolution & Peace
541720 , Massachusetts Institute of Technology
611310 , New York University
611310 , Stanford University
611310"," (c) 2018 Dow Jones & Company, Inc. Reproduced with permission of copyright owner. Further reproduction or distribution is prohibited without permission."," Opinions , Commentary"," Oct 9, 2018",0099-9660, English, English, A.17," New York, N.Y.","Oct 9, 2018",Wall Street Journal,2018,https://search.proquest.com/docview/2117060033?accountid=14902, A.17,," Economists , Emissions , Inventors , Economic growth , Carbon dioxide , Environmental tax , Macroeconomics , Costs , Growth rate , Economic models , Nobel prizes , Climate change , Gross Domestic Product--GDP , Economics , Texas , Massachusetts , New York , United States--US , Krugman, Paul",https://searchit.libraries.wsu.edu/openurl/WSU/WSU?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=unknown&amp;sid=ProQ:ProQ%3Awallstreetjournal&amp;atitle=A+Nobel+Economics+Prize+for+the+Long+Run&amp;title=Wall+Street+Journal&amp;issn=00999660&amp;date=2018-10-09&amp;volume=&amp;issue=&amp;spage=A.17&amp;au=Henderson%2C+David+R&amp;isbn=&amp;jtitle=Wall+Street+Journal&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,Global Newsstream
"Time to Put Down the Bong, Elon",,2113712853,Newspapers,"Jenkins, Holman W, Jr",," Securities & Exchange Commission
926150"," (c) 2018 Dow Jones & Company, Inc. Reproduced with permission of copyright owner. Further reproduction or distribution is prohibited without permission."," Opinions , Commentary"," Sep 29, 2018",0099-9660, English, English, A.13," New York, N.Y.","Sep 29, 2018",Wall Street Journal,2018,https://search.proquest.com/docview/2113712853?accountid=14902, A.13,," Automobiles , Electric vehicles , China , Musk, Elon , United States--US , Germany , Europe , Obama, Barack",https://searchit.libraries.wsu.edu/openurl/WSU/WSU?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=unknown&amp;sid=ProQ:ProQ%3Awallstreetjournal&amp;atitle=Time+to+Put+Down+the+Bong%2C+Elon&amp;title=Wall+Street+Journal&amp;issn=00999660&amp;date=2018-09-29&amp;volume=&amp;issue=&amp;spage=A.13&amp;au=Jenkins%2C+Holman+W%2C+Jr&amp;isbn=&amp;jtitle=Wall+Street+Journal&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,Global Newsstream
Business News: Oil Firms Pledge to Cut Emissions,,2111510686,Newspapers,"Kent, Sarah",," Royal Dutch Shell PLC
213112
221210
324110 , Environmental Defense Fund
541720
813312 , International Energy Agency
541720
926130
928120 , BP PLC
211111
324110
447110 , Exxon Mobil Corp
211111
447110"," (c) 2018 Dow Jones & Company, Inc. Reproduced with permission of copyright owner. Further reproduction or distribution is prohibited without permission.", News," Sep 25, 2018",0099-9660, English, English, B.7," New York, N.Y.","Sep 25, 2018",Wall Street Journal,2018,https://search.proquest.com/docview/2111510686?accountid=14902, B.7,," Chemical industry , Emissions , Energy industry , Climate change , Natural gas , Saudi Arabia",https://searchit.libraries.wsu.edu/openurl/WSU/WSU?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Awallstreetjournal&amp;atitle=Business+News%3A+Oil+Firms+Pledge+to+Cut+Emissions&amp;title=Wall+Street+Journal&amp;issn=00999660&amp;date=2018-09-25&amp;volume=&amp;issue=&amp;spage=B.7&amp;au=Kent%2C+Sarah&amp;isbn=&amp;jtitle=Wall+Street+Journal&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,Global Newsstream
Bets on Coal Pay Off at Mining Firms --- Glencore is a winner as it bought unwanted assets when rivals fled from the market,,2108088420,Newspapers,"Garvey, Paul",," Anglo American PLC
212111
212210
212221
212234
212299
212392
212399 , World Coal Association
813910 , Rio Tinto Group
212112
212291 , BHP Billiton
211111
212231
212234 , Glencore PLC
211111
212210
212234
311314"," (c) 2018 Dow Jones & Company, Inc. Reproduced with permission of copyright owner. Further reproduction or distribution is prohibited without permission.", News," Sep 18, 2018",0099-9660, English, English, B.11," New York, N.Y.","Sep 18, 2018",Wall Street Journal,2018,https://search.proquest.com/docview/2108088420?accountid=14902, B.11,," Mines , Investments , Market positioning , Coal mining , Climate change , South Africa , Venezuela , Africa , Australia , Asia , Cutifani, Mark , Europe",https://searchit.libraries.wsu.edu/openurl/WSU/WSU?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Awallstreetjournal&amp;atitle=Bets+on+Coal+Pay+Off+at+Mining+Firms+---+Glencore+is+a+winner+as+it+bought+unwanted+assets+when+rivals+fled+from+the+market&amp;title=Wall+Street+Journal&amp;issn=00999660&amp;date=2018-09-18&amp;volume=&amp;issue=&amp;spage=B.11&amp;au=Garvey%2C+Paul&amp;isbn=&amp;jtitle=Wall+Street+Journal&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,Global Newsstream
