Title,abstract,StoreId,ArticleType,Authors,coden,companies,copyright,documentType,entryDate,issn,language,languageOfSummary,pages,placeOfPublication,pubdate,pubtitle,year,DocumentURL,startPage,subjectTerms,subjects,FindACopy,Database
'Last Best Chance to Stop Runaway Climate Change': [Foreign Desk],,2156338421,Newspapers,"Sengupta, Somini",," United Nations--UN
928120 , Twitter Inc
519130 , Intergovernmental Panel on Climate Change
541712
928120 , World Meteorological Organization
924120"," Copyright New York Times Company Dec 15, 2018", News," Dec 15, 2018",0362-4331, English, English, A.8," New York, N.Y.","Dec 15, 2018",New York Times,2018,https://search.proquest.com/docview/2156338421?accountid=14902, A.8," Emissions , Economic growth , Diplomatic & consular services , Global warming , Paris Agreement , Environmental policy , Climate change , Coal , Duda, Andrzej , Russia , United States--US , Saudi Arabia , Ethiopia , Germany , Kuwait , Australia , China , Macron, Emmanuel , Bolsonaro, Jair , Poland , Figueres, Christiana",,https://searchit.libraries.wsu.edu/openurl/WSU/WSU?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Anytimes&amp;atitle=%27Last+Best+Chance+to+Stop+Runaway+Climate+Change%27%3A+%5BForeign+Desk%5D&amp;title=New+York+Times&amp;issn=03624331&amp;date=2018-12-15&amp;volume=&amp;issue=&amp;spage=A.8&amp;au=Sengupta%2C+Somini&amp;isbn=&amp;jtitle=New+York+Times&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,Global Newsstream
Forget Trump. Act on the Climate.: [Op-Ed],,2155584778,Newspapers,"Kerry, John",," Congress
921120 , Intergovernmental Panel on Climate Change
541712
928120"," Copyright New York Times Company Dec 14, 2018"," Opinions , Commentary"," Dec 14, 2018",0362-4331, English, English, A.31," New York, N.Y.","Dec 14, 2018",New York Times,2018,https://search.proquest.com/docview/2155584778?accountid=14902, A.31," Emissions , Greenhouse effect , Industrial plant emissions , Climate change , Greenhouse gases , Alternative energy sources , Gross Domestic Product--GDP , Global warming , Forest & brush fires , Environmental protection , Environmental policy , Woodward, Bob , Kerry, John F , Schumer, Charles E , United States--US , Pelosi, Nancy , Trump, Donald J",,https://searchit.libraries.wsu.edu/openurl/WSU/WSU?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=unknown&amp;sid=ProQ:ProQ%3Anytimes&amp;atitle=Forget+Trump.+Act+on+the+Climate.%3A+%5BOp-Ed%5D&amp;title=New+York+Times&amp;issn=03624331&amp;date=2018-12-14&amp;volume=&amp;issue=&amp;spage=A.31&amp;au=Kerry%2C+John&amp;isbn=&amp;jtitle=New+York+Times&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,Global Newsstream
Here to Help; One Thing You Can Do To Counteract Climate Change: [Science Desk],,2155584693,Newspapers,"Friedman, Lisa;Fountain, Henry;Garcia, Eduardo",," New York Times Co
511110
511120
515112
515120 , United Nations--UN
928120"," Copyright New York Times Company Dec 14, 2018", News," Dec 14, 2018",0362-4331, English, English, A.3," New York, N.Y.","Dec 14, 2018",New York Times,2018,https://search.proquest.com/docview/2155584693?accountid=14902, A.3," Research , Scientists , Endangered & extinct species , Newsletters , Researchers , Environmental impact , Coal-fired power plants , Paris Agreement , Food waste , Industrial plant emissions , Climate change , Natural gas , United States--US , New York , China , France",,https://searchit.libraries.wsu.edu/openurl/WSU/WSU?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Anytimes&amp;atitle=Here+to+Help%3B+One+Thing+You+Can+Do+To+Counteract+Climate+Change%3A+%5BScience+Desk%5D&amp;title=New+York+Times&amp;issn=03624331&amp;date=2018-12-14&amp;volume=&amp;issue=&amp;spage=A.3&amp;au=Friedman%2C+Lisa%3BFountain%2C+Henry%3BGarcia%2C+Eduardo&amp;isbn=&amp;jtitle=New+York+Times&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,Global Newsstream
"More Floods, More Droughts: Climate Change Delivers Both: [Foreign Desk]",,2154947672,Newspapers,"Schwartz, John",," Monterey Bay Aquarium Research Institute
541711 , Twitter Inc
519130 , American Meteorological Society
813920 , National Oceanic & Atmospheric Administration--NOAA
924120"," Copyright New York Times Company Dec 13, 2018", News," Dec 13, 2018",0362-4331, English, English, A.8," New York, N.Y.","Dec 13, 2018",New York Times,2018,https://search.proquest.com/docview/2154947672?accountid=14902, A.8," Research , Agricultural production , Greenhouse gases , Studies , Floods , Researchers , Rainfall measurement , Greenhouse effect , Climate change , Bangladesh , Malawi , United States--US , Germany , Africa , Australia , Baton Rouge Louisiana , Cullen, Heidi , Great Plains , Northern Europe , Asia , Monterey Bay",,https://searchit.libraries.wsu.edu/openurl/WSU/WSU?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Anytimes&amp;atitle=More+Floods%2C+More+Droughts%3A+Climate+Change+Delivers+Both%3A+%5BForeign+Desk%5D&amp;title=New+York+Times&amp;issn=03624331&amp;date=2018-12-13&amp;volume=&amp;issue=&amp;spage=A.8&amp;au=Schwartz%2C+John&amp;isbn=&amp;jtitle=New+York+Times&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,Global Newsstream
Trump Has Allies on Fossil Fuels: [Foreign Desk],,2153934147,Newspapers,"Plumer, Brad;Friedman, Lisa",," United Nations--UN
928120 , Group of Twenty
926110 , Intergovernmental Panel on Climate Change
541712
928120"," Copyright New York Times Company Dec 11, 2018", News," Dec 11, 2018",0362-4331, English, English, A.1," New York, N.Y.","Dec 11, 2018",New York Times,2018,https://search.proquest.com/docview/2153934147?accountid=14902, A.1," Emissions , Diplomatic & consular services , Presidents , Energy , Greenhouse effect , Climate change , Fossil fuels , Paris Agreement , Coal , Sustainability , Environmental protection , International relations-US , Alliances , Trump, Donald J , Turkey , Russia , Tuvalu , Kuwait , Australia , Poland , Maldives , Banks, George David , United States--US , Saudi Arabia , India , China",,https://searchit.libraries.wsu.edu/openurl/WSU/WSU?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Anytimes&amp;atitle=Trump+Has+Allies+on+Fossil+Fuels%3A+%5BForeign+Desk%5D&amp;title=New+York+Times&amp;issn=03624331&amp;date=2018-12-11&amp;volume=&amp;issue=&amp;spage=A.1&amp;au=Plumer%2C+Brad%3BFriedman%2C+Lisa&amp;isbn=&amp;jtitle=New+York+Times&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,Global Newsstream
"Too Strict, Too Lax: Trudeau's Carbon Tax Push Has Critics on All Sides: [Foreign Desk]",,2153542384,Newspapers,"Austen, Ian",," University of British Columbia
611310 , Twitter Inc
519130 , General Motors Corp
333415
336111
336390"," Copyright New York Times Company Dec 10, 2018", News," Dec 10, 2018",0362-4331, English, English, A.11," New York, N.Y.","Dec 10, 2018",New York Times,2018,https://search.proquest.com/docview/2153542384?accountid=14902, A.11," Politics , Taxes , Environmental tax , Provinces , Environmental policy , Industrial plant emissions , Climate change , Emissions trading , Carbon , Economic models , Pollution , Trump, Donald J , Manitoba Canada , Canada , Quebec Canada , Poland , McKenna, Catherine , United States--US , British Columbia Canada , Trudeau, Justin , Saskatchewan Canada , California , Scheer, Andrew",,https://searchit.libraries.wsu.edu/openurl/WSU/WSU?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Anytimes&amp;atitle=Too+Strict%2C+Too+Lax%3A+Trudeau%27s+Carbon+Tax+Push+Has+Critics+on+All+Sides%3A+%5BForeign+Desk%5D&amp;title=New+York+Times&amp;issn=03624331&amp;date=2018-12-10&amp;volume=&amp;issue=&amp;spage=A.11&amp;au=Austen%2C+Ian&amp;isbn=&amp;jtitle=New+York+Times&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,Global Newsstream
Climate Efforts Sputter as U.S. and China Duel: [Foreign Desk],,2153173815,Newspapers,"Sengupta, Somini",," United Nations--UN
928120 , Twitter Inc
519130 , Georgetown University
611310 , Energy Foundation
541711 , Greenpeace
813312
813940"," Copyright New York Times Company Dec 9, 2018", News," Dec 9, 2018",0362-4331, English, English, A.10," New York, N.Y.","Dec 9, 2018",New York Times,2018,https://search.proquest.com/docview/2153173815?accountid=14902, A.10," Emissions , Alternative energy sources , Greenhouse effect , Climate change , Shortages , Trump, Donald J , Beijing China , United States--US , Xi Jinping , Kenya , India , Gore, Albert Jr , China , California , Poland , Pakistan , Los Angeles California , Asia",,https://searchit.libraries.wsu.edu/openurl/WSU/WSU?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Anytimes&amp;atitle=Climate+Efforts+Sputter+as+U.S.+and+China+Duel%3A+%5BForeign+Desk%5D&amp;title=New+York+Times&amp;issn=03624331&amp;date=2018-12-09&amp;volume=&amp;issue=&amp;spage=A.10&amp;au=Sengupta%2C+Somini&amp;isbn=&amp;jtitle=New+York+Times&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,Global Newsstream
The Paris Climate Pledges Are Overly Modest. And They're Not Being Met.: [Foreign Desk],,2151610092,Newspapers,"Plumer, Brad",," University of Maryland
611310 , United Nations--UN
928120 , Brookings Institution
541711
541720 , European Union
926110
928120"," Copyright New York Times Company Dec 8, 2018", News," Dec 8, 2018",0362-4331, English, English, A.5," New York, N.Y.","Dec 8, 2018",New York Times,2018,https://search.proquest.com/docview/2151610092?accountid=14902, A.5," Clean technology , Electric vehicles , Trucks , Forests , Industrial plant emissions , Emissions trading , Rainforests , Carbon , Global warming , Coal-fired power plants , Alternative energy sources , Paris Agreement , Trump, Donald J , United Kingdom--UK , Brazil , Poland , Indonesia , Europe , Obama, Barack , Netherlands , New York , United States--US , India , China , California",,https://searchit.libraries.wsu.edu/openurl/WSU/WSU?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Anytimes&amp;atitle=The+Paris+Climate+Pledges+Are+Overly+Modest.+And+They%27re+Not+Being+Met.%3A+%5BForeign+Desk%5D&amp;title=New+York+Times&amp;issn=03624331&amp;date=2018-12-08&amp;volume=&amp;issue=&amp;spage=A.5&amp;au=Plumer%2C+Brad&amp;isbn=&amp;jtitle=New+York+Times&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,Global Newsstream
Effort Builds to Deny West Virginia Democrat a Key Senate Role on Climate: [National Desk],,2150999602,Newspapers,Sheryl Gay Stolberg,," Center for Responsive Politics
541720 , League of Conservation Voters
813940 , Federal Energy Regulatory Commission--FERC
926110
926130 , Congress
921120 , Democratic Party
813940 , Senate
921120"," Copyright New York Times Company Dec 7, 2018", News," Dec 7, 2018",0362-4331, English, English, A.15," New York, N.Y.","Dec 7, 2018",New York Times,2018,https://search.proquest.com/docview/2150999602?accountid=14902, A.15," Nominations , Seniority , Environmental policy , Energy industry , Climate change , Bills , Campaign contributions , Committees , Coal , Trump, Donald J , North Dakota , Indiana , Sanders, Bernard , Cantwell, Maria , Manchin, Joe , Heitkamp, Heidi , Stabenow, Debbie , Schumer, Charles E , Florida , Michigan , Vermont , Inslee, Jay , West Virginia , Donnelly, Joe , Connecticut , New York , Steyer, Tom , Ocasio-Cortez, Alexandria , Murphy, Christopher S , Wyden, Ron , Nelson, Bill , Oregon",,https://searchit.libraries.wsu.edu/openurl/WSU/WSU?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Anytimes&amp;atitle=Effort+Builds+to+Deny+West+Virginia+Democrat+a+Key+Senate+Role+on+Climate%3A+%5BNational+Desk%5D&amp;title=New+York+Times&amp;issn=03624331&amp;date=2018-12-07&amp;volume=&amp;issue=&amp;spage=A.15&amp;au=Sheryl+Gay+Stolberg&amp;isbn=&amp;jtitle=New+York+Times&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,Global Newsstream
"Emissions Surge, Hastening Perils Across the Globe: [Foreign Desk]",,2150282398,Newspapers,"Pierre-Louis, Kendra",," Environmental Protection Agency--EPA
924110 , United Nations--UN
928120 , European Union
926110
928120 , Intergovernmental Panel on Climate Change
541712
928120"," Copyright New York Times Company Dec 6, 2018", News," Dec 6, 2018",0362-4331, English, English, A.1," New York, N.Y.","Dec 6, 2018",New York Times,2018,https://search.proquest.com/docview/2150282398?accountid=14902, A.1," Research , Scientists , Emissions , Electric vehicles , Researchers , Industrial plant emissions , Climate change , Natural gas , Gases , Fossil fuels , Carbon , Global warming , Coal-fired power plants , Alternative energy sources , Paris Agreement , Environmental impact , Greenhouse gases , Renewable resources , Climate science , Trump, Donald J , Africa , Poland , Europe , United States--US , Ivory Coast , India , Germany , China",,https://searchit.libraries.wsu.edu/openurl/WSU/WSU?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Anytimes&amp;atitle=Emissions+Surge%2C+Hastening+Perils+Across+the+Globe%3A+%5BForeign+Desk%5D&amp;title=New+York+Times&amp;issn=03624331&amp;date=2018-12-06&amp;volume=&amp;issue=&amp;spage=A.1&amp;au=Pierre-Louis%2C+Kendra&amp;isbn=&amp;jtitle=New+York+Times&amp;btitle=&amp;rft_id=info:eric/&amp;rft_id=info:doi/,Global Newsstream
